date,painting_author,painting_genre,painting_wiki,painting_name,song_title,song_description,song_artist,song_writers,song_released,saying_text,saying_explanation,UNESCO_site_name,UNESCO_site_description,UNESCO_site_country,international_day,color_name,color_hex,color_link,plant_name,discovery,philosophical_concept_name,philosophical_concept_url
2024-01-01,Edvard Munch,"Symbolism,Expressionism",https://en.wikipedia.org/wiki/Edvard_Munch,Edvard_Munch_7.jpg,Like a Rolling Stone,"""I wrote it. I didn't fail. It was straight,""Â Bob DylanÂ said of his greatest song shortly after he recorded it in June 1965. There is no better description of ""Like a Rolling Stone"" Â of its revolutionary design and execution Â or of the young man, just turned 24, who created it.",Bob Dylan,Dylan,"July, 1965",Walk the walk,Back up one's talk with action. ,Macquarie Island,"<p>Macquarie Island (34 km long x 5 km wide) is an oceanic island in the Southern Ocean, lying 1,500 km south-east of Tasmania and approximately halfway between Australia and the Antarctic continent. The island is the exposed crest of the undersea Macquarie Ridge, raised to its present position where the Indo-Australian tectonic plate meets the Pacific plate. It is a site of major geoconservation significance, being the only place on earth where rocks from the earth’s mantle (6 km below the ocean floor) are being actively exposed above sea-level. These unique exposures include excellent examples of pillow basalts and other extrusive rocks.</p>",Australia,,Snow,#FFFAFA,https://en.wikipedia.org/wiki/Shades_of_white#Snow,isle of man cabbage,"1267: Roger Bacon publishes his Opus Majus, compiling translated Classical Greek, and Arabic works on mathematics, optics, and alchemy into a volume, and details his methods for evaluating the theories, particularly those of Ptolemy's 2nd century Optics, and his findings on the production of lenses, asserting “theories supplied by reason should be verified by sensory data, aided by instruments, and corroborated by trustworthy witnesses"", in a precursor to the peer reviewed scientific method.",Ren,https://en.wikipedia.org/wiki/Ren_(Confucianism)
2024-01-02,Kazimir Malevich,Suprematism,http://en.wikipedia.org/wiki/Kazimir_Malevich,Kazimir_Malevich_4.jpg,(I Can't Get No) Satisfaction',"""It's the riff heard round the world,"" says Steve Van Zandt, guitarist for the E Street Band. ""And it's one of the earliest examples ofÂ DylanÂ influencing the Stones andÂ the BeatlesÂ Â the degree of cynicism, and the idea of bringing more personal lyrics from the folk and blues tradition into popular music.""",The Rolling Stones,"Mick Jagger, Keith Richards","May, 1965",Cotton on to,To get to know or understand something. ,Historic Quarter of the Seaport City of Valparaíso,"<p>The colonial city of Valpara&iacute;so presents an excellent example of late 19th-century urban and architectural development in Latin America. In its natural amphitheatre-like setting, the city is characterized by a vernacular urban fabric adapted to the hillsides that are dotted with a great variety of church spires. It contrasts with the geometrical layout utilized in the plain. The city has well preserved its interesting early industrial infrastructures, such as the numerous &lsquo;elevators&rsquo; on the steep hillsides.</p>",Chile,,Lime green,#32CD32,https://en.wikipedia.org/wiki/Lime_(color)#Lime_green,hemp,4th century BC: Menaechmus develops co-ordinate geometry.,Mercy,https://en.wikipedia.org/wiki/Mercy
2024-01-03,Titian,"High Renaissance,Mannerism",http://en.wikipedia.org/wiki/Titian,Titian_5.jpg,Imagine,"John Lennon wrote ""Imagine,"" his greatest musical gift to the world, one morning early in 1971 in his bedroom at Tittenhurst Park, his estate in Ascot, England. His wife, Yoko Ono, watched as Lennon sat at the white grand piano now known around the world from films and photographs of the sessions for his Imagine album and virtually completed the song: the serene melody; the pillowy chord progression; that beckoning, four-note figure; and nearly all of the lyrics, 22 lines of graceful, plain-spoken faith in the power of a world, united in purpose, to repair and change itself.",John Lennon,John Lennon,"October, 1971","Between you, me and the bed-post","The phrase 'between you, me and the bed-post' is used when divulging a secret; something that only the speaker and the listener should hear.",City of Graz – Historic Centre and Schloss Eggenberg,"<p>The City of Graz &ndash; Historic Centre and Schloss Eggenberg bear witness to an exemplary model of the living heritage of a central European urban complex influenced by the secular presence of the Habsburgs and the cultural and artistic role played by the main aristocratic families. They are a harmonious blend of the architectural styles and artistic movements that have succeeded each other from the Middle Ages until the 18th century, from the many neighbouring regions of Central and Mediterranean Europe. They embody a diversified and highly comprehensive ensemble of architectural, decorative and landscape examples of these interchanges of influence.</p>",Austria,,Maximum blue purple,#ACACE6,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Standard_colors,bull nettle,1915: Karl Schwarzschild: discovery of the Schwarzschild radius leading to the identification of black holes,Zeitgeist,https://en.wikipedia.org/wiki/Zeitgeist
2024-01-04,Pieter Bruegel,Northern Renaissance,http://en.wikipedia.org/wiki/Pieter_Bruegel_the_Elder,Pieter_Bruegel_7.jpg,What's Going On,"""What's Going On"" is an exquisite plea for peace on Earth, sung by a man at the height of crisis. In 1970, Marvin Gaye was Motown's top male vocal star, yet he was frustrated by the assembly-line role he played on his own hits. Devastated by the loss of duet partner Tammi Terrell, who died that March after a three-year battle with a brain tumor, Gaye was also trapped in a turbulent marriage to Anna Gordy, Motown boss Berry Gordy's sister. Gaye was tormented, too, by his relationship with his puritanical father, Marvin Sr. ""If I was arguing for peace,"" Gaye told biographer David Ritz, ""I knew I'd have to find peace in my heart.""",Marvin Gaye,"Gaye, Renaldo Benson, Al Cleveland","Feb, 1971",Jobs for the boys,Favouritism where jobs or other benefits are given to friends and acquaintances.,Rainforests of the Atsinanana,"<p>The Rainforests of the Atsinanana comprise six national parks distributed along the eastern part of the island. These relict forests are critically important for maintaining ongoing ecological processes necessary for the survival of Madagascar’s unique biodiversity, which reflects the island’s geological history. Having completed its separation from all other land masses more than 60 million years ago, Madagascar’s plant and animal life evolved in isolation. The rainforests are inscribed for their importance to both ecological and biological processes as well as their biodiversity and the threatened species they support. Many species are rare and threatened especially primates and lemurs.</p>",Madagascar,World Braille Day,Dark khaki,#BDB76B,https://en.wikipedia.org/wiki/Khaki_(color)#Dark_khaki,horsetail milkweed,1796: Edward Jenner: smallpox historical accounting.,I know that I know nothing,https://en.wikipedia.org/wiki/I_know_that_I_know_nothing
2024-01-05,Pablo Picasso,Cubism,http://en.wikipedia.org/wiki/Pablo_Picasso,Pablo_Picasso_7.jpg,Respect,"Otis Redding wrote ""Respect"" and recorded it first, for the Volt label in 1965. But Aretha Franklin took possession of the song for all time with her definitive cover, made at Atlantic's New York studio on Valentine's Day 1967. ""Respect"" was her first Number One hit and the single that established her as the Queen of Soul. In Redding's reading, a brawny march, he called for equal favor with volcanic force. Franklin wasn't asking for anything. She sang from higher ground: a woman calling an end to the exhaustion and sacrifice of a raw deal with scorching sexual authority. In short, if you want some, you will earn it.",Aretha Franklin,Otis Redding,"April, 1967",Thumbs up,"A sign of acceptance, approval or encouragement, made with closed fingers and the thumb extended upwards. ",Bagan,"Lying on a bend of the Ayeyarwady River in the central plain of Myanmar, Bagan is a sacred landscape, featuring an exceptional range of Buddhist art and architecture. The seven components of the serial property include numerous temples, stupas, monasteries and places of pilgrimage, as well as archaeological remains, frescoes and sculptures. The property bears spectacular testimony to the peak of Bagan civilization (11th -13th centuries CE), when the site was the capital of a regional empire. This ensemble of monumental architecture reflects the strength of religious devotion of an early Buddhist empire.",Myanmar,,Paolo Veronese green,#009B7D,https://en.wikipedia.org/wiki/Viridian#Paolo_Veronese_green,common serviceberry,"2023: India successfully touched down near the south pole of the Moon with Chandrayaan-3's lander on August 23, making it only the fourth country to achieve the feat of reaching lunar surface after the US, China and the erstwhile Soviet Union.",Pattern,https://en.wikipedia.org/wiki/Pattern
2024-01-06,Mikhail Vrubel,Symbolism,http://en.wikipedia.org/wiki/Mikhail_Vrubel,Mikhail_Vrubel_4.jpg,Good Vibrations,"""It scared me, the word 'vi-brations,'""Â Brian WilsonÂ once said, remembering how, when he was a boy, his mother, Audree, tried to explain why dogs barked at some people and not others. ""A dog would pick up vibrations from these people that you can't see but you can feel. And the same thing happened with people."" ""Good Vibrations"" harnessed that energy and turned it into eternal sunshine. ""This is a very spiritual song,"" Wilson said after its release, ""and I want it to give off good vibrations.""",The Beach Boys,"Brian Wilson, Mike Love","October, 1966",What's up Doc?,"'Eh, What's up Doc?' joins 'That's All Folks!' as the best-known lines from Tex Avery's Looney Tunes cartoon series. It was delivered by Bugs Bunny, while nonchalantly chewing on a carrot, in most of the cartoons in which the character appeared, beginning with A Wild Hare, 1940. This was the first Bugs Bunny cartoon, although Bugs wasn't named until the second cartoon - Elmer's Pet Rabbit ('Happy Rabbit', a prototype Bugs Bunny with a somewhat different personality had appeared earlier).",Historic Centre of Lima,"<p>Although severely damaged by earthquakes, this 'City of the Kings' was, until the middle of the 18th century, the capital and most important city of the Spanish dominions in South America. Many of its buildings, such as the Convent of San Francisco (the largest of its type in this part of the world), are the result of collaboration between local craftspeople and others from the Old World.</p>",Peru,,Cyber yellow,#FFD300,https://en.wikipedia.org/wiki/Shades_of_yellow#Cyber_yellow,golden garlic,"By the 5th century: The elliptical orbits of planets are discovered in India by at least the time of Aryabhata, and are used for the calculations of orbital periods and eclipse timings.",Moksha,https://en.wikipedia.org/wiki/Moksha
2024-01-07,Peter Paul Rubens,Baroque,http://en.wikipedia.org/wiki/Peter_Paul_Rubens,Peter_Paul_Rubens_7.jpg,Johnny B. Goode,"""Johnny B. Goode"" was the first rock & roll hit about rock & roll stardom. It is still the greatest rock & roll song about the democracy of fame in pop music. And ""Johnny B. Goode"" is based in fact. The title character isÂ Chuck BerryÂ Â ""more or less,"" as he toldÂ Rolling StoneÂ in 1972. ""The original words [were], of course, 'That little colored boy could play.' I changed it to 'country boy' Â or else it wouldn't get on the radio."" Berry took other narrative liberties. Johnny came from ""deep down in Louisiana, close to New Orleans,"" rather than Berry's St. Louis. And Johnny ""never ever learned to read or write so well,"" while Berry graduated from beauty school with a degree in hairdressing and cosmetology.",Chuck Berry,Chuck Berry,"April, 1958",Not worth a plugged nickel,Worthless.,"Portovenere, Cinque Terre, and the Islands (Palmaria, Tino and Tinetto)","<p>The Ligurian coast between Cinque Terre and Portovenere is a cultural landscape of great scenic and cultural value. The layout and disposition of the small towns and the shaping of the surrounding landscape, overcoming the disadvantages of a steep, uneven terrain, encapsulate the continuous history of human settlement in this region over the past millennium.</p>",Italy,,Lilac,#C8A2C8,https://en.wikipedia.org/wiki/Lilac_(color),green headed coneflower,300 BC: Euclid proves the Fundamental Theorem of Arithmetic.,League of peace,https://en.wikipedia.org/wiki/League_of_peace
2024-01-08,Amedeo Modigliani,Expressionism,http://en.wikipedia.org/wiki/Amedeo_Modigliani,Amedeo_Modigliani_5.jpg,Hey Jude,"The Beatles' biggest U.S. single Â nine weeks at Number One Â was also their longest, at seven minutes and 11 seconds. During the recording sessions, producer George Martin objected to the length, claiming DJs would not play the song. ""They will if it's us,""Â John LennonÂ shot back.Â Paul McCartneyÂ wrote ""Hey Jude"" in June 1968, singing to himself on his way to visit Lennon's soon-to-be-ex-wife, Cynthia, and their son, Julian. The opening lines were, McCartney once said, ""a hopeful message for Julian: 'Come on, man, your parents got divorced. I know you're not happy, but you'll be OK.'"" McCartney changed ""Jules"" to ""Jude"" Â a name inspired by Jud from the musicalÂ Oklahoma!Â Â and presented a demo tape to Lennon, who loved the song. He also thought McCartney was singing to him, about his relationship withÂ Yoko OnoÂ and the strains on the Lennon-McCartney partnership. But his self-centered reading underscored the universal comfort in McCartney's lyrics and the song's warm, rolling charm, fortified in the fade-out by a 36-piece orchestra whose members (with one grumpy exception) also clapped and sang along Â for double their usual fee.",The Beatles,"John Lennon, Paul McCartney","Aug, 1968",Complete shambles,A scene of disorder; a ruin; a mess. ,Paleochristian and Byzantine Monuments of Thessalonika,"<p>Founded in 315 B.C., the provincial capital and sea port of Thessalonika was one of the first bases for the spread of Christianity. Among its Christian monuments are fine churches, some built on the Greek cross plan and others on the three-nave basilica plan. Constructed over a long period, from the 4th to the 15th century, they constitute a diachronic typological series, which had considerable influence in the Byzantine world. The mosaics of the rotunda, St Demetrius and St David are among the great masterpieces of early Christian art.</p>",Greece,,Nickel,#727472,https://en.wikipedia.org/wiki/Shades_of_gray#Nickel,green ash,3rd century: Diophantus discusses linear diophantine equations.,Here is a hand,https://en.wikipedia.org/wiki/Here_is_a_hand
2024-01-09,Salvador Dali,Surrealism,http://en.wikipedia.org/wiki/Salvador_Dalí,Salvador_Dali_3.jpg,Smells Like Teen Spirit,"Producer Butch Vig first heard ""Smells Like Teen Spirit"" in early 1991, on a boombox cassette recorded by bassist Krist Novoselic, drummer Dave Grohl and singer-guitarist-songwriterÂ Kurt CobainÂ in a barn in Tacoma, Washington. The fidelity was abysmal. Vig Â about to work withÂ NirvanaÂ on their major-label debut,Â NevermindÂ Â could not tell that the song would soon make underground Seattle rock the new mainstream and catapult Cobain, a troubled young man with strict indie-culture ethics, into megacelebrity. ""I could sort of hear the 'Hello, hello' part and the chords,"" Vig said years later. ""But it was so indecipherable that I had no idea what to expect.""",Nirvana,Kurt Cobain,"Sep, 1991",Act the giddy goat,Behave foolishly. ,"Port, Fortresses and Group of Monuments, Cartagena","<p>Situated in a bay in the Caribbean Sea, Cartagena has the most extensive fortifications in South America. A system of zones divides the city into three neighbourhoods: San Pedro, with the cathedral and many Andalusian-style palaces; San Diego, where merchants and the middle class lived; and Gethsemani, the 'popular quarter'.</p>",Colombia,,Schauss pink,#FF91AF,https://en.wikipedia.org/wiki/Baker-Miller_Pink,annual sow thistle,1927: Georges Lemaître: Theory of the Big Bang,Sunyata,https://en.wikipedia.org/wiki/Sunyata
2024-01-10,Giotto di Bondone,Proto Renaissance,http://en.wikipedia.org/wiki/Giotto_di_Bondone,Giotto_di_Bondone_7.jpg,What'd I Say,"""The people just went crazy, and they loved that littleÂ ummmmh, unnnnh,""Â Ray CharlesÂ toldÂ Rolling StoneÂ in 1978, describing the instant genesis of ""What'd I Say,"" his first Top 10 pop single and the greatest feel-good song in rock & roll. ""Later on, people said it was vulgar,"" Charles continued, referring to that irresistible, sexually heated vocal bridge. ""But, hell, let's face it, everybody knows about theÂ ummmmh, unnnnh. That's how we all got here.""",Ray Charles,Charles,"June, 1959",Sick puppy (A) ,"Someone who behaves oddly, as a sick puppy might; for example, a lovesick person who pines after their beloved. ",Colchic Rainforests and Wetlands,"<p>The site comprises seven component parts, within an 80km long corridor along the warm-temperate and extremely humid eastern coast of the Black Sea. They provide a series of the most typical Colchic ecosystems at altitudes ranging from sea level to more than 2,500 metres above it. The main ecosystems are ancient deciduous Colchic rainforests and wetlands, percolation bogs and other mire types of the distinct Colchic mire region. The extremely humid broad-leaved rainforests comprise a highly diverse flora and fauna, with very high densities of endemic and relict species, with significant numbers of globally threatened species and relict species, which survived the glacial cycles of the Tertiary. The site is home to approximately 1,100 species of vascular and non-vascular plants, including 44 threatened vascular plan species, and almost 500 species of vertebrates, and a high number of invertebrate species. The site also harbours 19 threatened animal species including sturgeon, notably the critically endangered Colchic Sturgeon. It is a key stopover for many globally threatened birds that migrate through the Batumi bottleneck.</p>",Georgia,,Maximum blue green,#30BFBF,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Standard_colors,goldenglow,2014: Exotic hadrons are discovered at the LHCb,Quantity,https://en.wikipedia.org/wiki/Quantity
